Name,Category,Price,Rating,Review_count,Review,Neighborhood,Latitude,Longitude
Marufuku Ramen,Ramen,2,4.5,4122,"['Long long overdue review, but I loved this place. The line was literally booty, so me and my friends went half an hour before opening, and sat by a nearby...', ""The food was amazing! I got the marufuku bites and the hakata tonkatsu, they were so good! The broth was the best I've ever had, highly recommend!"", 'Located inside a shopping mall, this is a perfect lunch spot. Come early and put your name down on the list and walk around the mall area to get some...']",Japantown,37.7851181,-122.4320068
Fog Harbor Fish House,Seafood,2,4.5,8324,"['Great food and not a long wait.  Perfect on a cool early afternoon.  Nice wait staff and right on the water.', ""Food was delicious! My wife and I were celebrating our wedding anniversary. Although the weather wasn't pleasant, we were able to see the Golden Gate Bridge..."", 'Not bad, but not impressive at the same time.\nThe service was pretty good, although they were busy.']",Fishermans Wharf,37.80898666,-122.4102936
Dumpling House,Other,2,4.5,360,"[""Love coming here - I've gotten so many of their items and have been happy with each. I've had their dumplings, the soups, vegetable dishes, you name it...."", 'Back again for dinner tonight:\n\nOn point: \n- XLBs\n- Wonton with chili sauce\n\nLess so: Pork and cabbage dumplings', ""Not the best dim sum I've had in SF... the restaurant itself is clean and modern, but the service was very very slow and the dim sum is quite Americanized....""]",Castro,37.76355362,-122.4327621
Starbelly,Other,2,4,2115,"['Starbelly has been one of my go to comfort restaurants since I moved to this city. The menu is always fresh and new but the atmosphere and service always...', 'Came here for SF Restaurant Week 2022! The lunch comes with a starter and an entree for $15! What a DEAL. \n\nI ordered the 1/2 liver pate plate and chicken...', 'We came here for my coworkers bday, and it was great vibes all around.\n\nWe ordered a lot, and we spent $89/person for about 13 people. We ordered hella...']",Castro,37.76401901,-122.4325333
Bottega,Italian,2,4.5,379,"['What a great place to grab lunch/dinner with your friends!\n\nThe servers are friendly. It adds that extra pizazz when they come by to offer freshly grated...', ""Ok let's debunk the hype - is Bottega really worth it? I say YES. \n\n| v i b e |\nThe ambience is something I noticed right away. It feels airy with the big..."", ""I am dairy and gluten free... so why would I be posting a 5 star review? Well, it's because Bottega has gluten free pasta. Usually, gluten free pasta will...""]",Mission,37.75471878,-122.4212036
Jamie's Place,Other,2,4.5,242,"['Very good food and service is very friendly.highly recommend\nWe order California omelet and it cooked perfectly. Dim sum is excellent', ""My friend introduced me to Jamie's Place and it's delicious. I love their presentation of food, and of course the food itself is very tasty. I think the..."", 'Attempted to try this place multiple times, the first time I went got there before the store opened and waited and waited and waited, no sign of it being...']",Inner Sunset,37.7626152,-122.4659805
Beit Rima,Other,2,4.5,200,"['Quick update:\n\nThese were great as well\n\nShashuka w cheese\nWhole fried branzino-fish\nFried potato', 'WOW! This restaurant truly is a hidden gem in Cole Valley. My boyfriend and I stopped in on a Sunday, not planning to go out for dinner. While driving by he...', 'The food is really good. We picked up, and they forgot something important, so we had to drive back, and they had accidentally given our item to someone...']",Cole Valley,37.76595688,-122.4496765
Sotto Mare,Seafood,2,4.5,4621,"['The food was delicious here! There was about a 45 min wait for two when we came in a Friday night, and they gave us a pager that would let us know when our...', 'Excellent !\nThe best Italian food I ever had... Yum ! I mean it I never had Italian food that good pasta was done perfect sauce marinara is the best ever...', 'Absolutely the best place to meet friends to have the best Italian seafood in San Francisco. Sotto Mare serves old-school Italian seafood in an old-school...']",North Beach,37.79978943,-122.4083405
Dumpling Kitchen,Other,2,4.5,27,"['So totally thrilled to find this place! We just attended the grand opening today (10/8/22): the food was freshly delicious & the service seamlessly...', 'A small storefront tucked in the heart of the Castro surprises you instantly if you walk in and ask to be seated in the back patio. We went midday on a...', ""FINALLY!!!!! This space and this neighborhood have a good restaurant!\nOur first time so we played it safe and went our GOSB's (good old stand bys), bbq pork...""]",Castro,37.76013184,-122.4352875
Kin Khao,Thai,2,4,2148,"[""I'll start with saying the only reason it's not 5 stars is because  we ordered everything at once and asked to have it coursed some, and ended up with..."", ""It has been a long and rough few years, but luckily for us, it's finally over. No, not the pandemic, I'm talking about waiting for Michelin-starred Kin Khao..."", ""This place has really really good food. Way over priced but they say that it is family sized portions... it's not. Portions are normal sized... so in other...""]",Downtown / Union Square,37.78524017,-122.4093323
Surisan,Korean,2,4.5,2877,"['Everything was amazing! The servers were welcoming and kind!!! I highly recommend this place', 'Whole ambiance and food was a vibe. Great and easy service and I like how the food was presented on the plates along with the fact that they taste...', 'Bro, this is a nice spot. The fried chicken is fire  I will definitely drive back to the city for this! I was super disappointed in the loco moco. I wanted...']",Fishermans Wharf,37.80678177,-122.4175568
The Snug,Other,2,4,335,"['Cool place, nice atmosphere! I love coming here with friends. If there are free places outside, I eat there. I usually take salads or french fries. Good...', ""We called ahead of time to double check if they allow dogs and they did (because they have parklets and that's where we stayed). Never got to see the inside..."", 'Came on a Wednesday evening. Decently busy. No reservation and still sat us at a shared table. The menu is via a barcode you scan and order your food...']",Pacific Heights,37.79093933,-122.434433
Farmhouse Kitchen Thai Cuisine,Thai,2,4,3388,"['Food was good, good portiond, service was good as well.\nHowever, way too expensive.\nHow can this be rated 2x$ signs on Yelp? I have no idea', 'The food is excellent. The service needs improvement. Servers were rushing us through appetizers, drinks, dinner, and dessert. For an upscale restaurant,...', 'Atmosphere: 5/5\nFood: 4.5/5\nDrinks: 5/5\nService: 5/5\n\nI had such a great time here catching up with a friend. The whole place is decked out in flowers so...']",Mission,37.76019287,-122.4114151
Purple Rice,Korean,2,4.5,218,"[""I've been here twice now ever since moving to SF. I haven't had much good Korean restaurants in SF, but this place definitely fulfills my Korean food..."", 'Decent Korean food for a fair price and a good quick spot in Hayes Valley! We came here on a Friday night a bit close to close - would recommend coming...', 'As a gal who loves korean food, dare I say it is in my monthly rotation of eating out at least twice a month (which is generous considering the plethora of...']",Lower Haight,37.77191544,-122.4307556
Limoncello,Other,2,5,1487,"['Nice deli with Italian groceries, wine, and beer for sale. There are outside and limited indoor seating. \n\nI got The Godfather sandwich and it was OK the...', 'Aesthetic Italian store, huge sandwiches, slow service \n\nI called ahead to order my sandwich bc I had read reviews on how slow the service can be, and I...', 'I was visiting my daughter & son-law and we  stopped by Limoncello on our way to a park in San Francisco to pick up some Italian sandwiches. We had a little...']",Cathedral Hill,37.78731918,-122.4235916
Dumpling Home,Other,2,4.5,673,"[""Im no noodle expert, but those ginger and green onion noodles were the best tasting, and definitely the best noodle texture I've had. I almost ordered..."", ""I've been wanting to try this place for a while but never had an excuse to go down to Hayes Valley. Normally I try to avoid that area because the parking..."", ""So many stellar reviews here.  I'm going to be honest.  While the dumplings were nice and juicy, this place is overpriced.  The noodles at $16 is for one...""]",Civic Center,37.77582932,-122.4226379
San Tung,Chinese,2,4,7679,"[""It's seriously over hyped. \n\nTo me chicken wings in a sticky sauce are nothing special. Chicken wings are not my idea of fine dining.\n\nThe black bean sauce..."", 'Best food ever!!!\r\r Recently try the famous San Tung! ;)\nPlace with the best fried chicken.', ""The wings here are amazing! Hands down the best wings we've ever had!! On the other hand the costumer service I received here was horrible, that makes me...""]",Inner Sunset,37.7637825,-122.4690094
Kitchen Story,Breakfast & Brunch,2,4,3838,"[""Good food, long wait & always busy. Kinda overhyped but it's a good benchmark for good brunch"", 'We stopped in SF for our anniversary and stopped at this restaurant since we are bacon fanatics!\nI really wanted to try out their bacon platter. \nThis place...', 'Classic brunch spot in SF with great bites. Kitchen Story has classic American brunch favorites with Asian influences.\n\nMenu includes omelets/scrambles,...']",Mission Dolores,37.76428986,-122.4307251
Wooden Spoon,Breakfast & Brunch,2,4.5,540,"['Great food, great service & the ambiance is very nice. Shout out to Cubano and James! \nThey were friendly and attentive. \nIf visiting be sure to catch...', 'Okay I had to come back here again because I was craving that soft scramble again! Once again my experience was the same just like before! This time I got a...', ""Decent brunch spot fix if there isn't a line. Servers were quite accommodating and friendly. Expect to wait about 30 min+ if you have a group larger than 2...""]",Duboce Triangle,37.76661682,-122.4302597
Fable,American (New),2,4,736,"['Came here for a late lunch. We were greeted by the host and had a reservation.\n\nWe sat out back and the back is so cute and refreshing. Service was great...', 'I would honestly rate this 3.5, but Yelp is forcing me to round..\n\nCame for a friends birthday dinner, and let me tell you, their outdoor patio is gorgeous...', 'Walked up to the place and noticed the small patch of seating in the front. Nice peaceful greenery in the crazy city. As we went inside we waited a little...']",Castro,37.75995636,-122.4350891
Woodhouse Fish Company,Seafood,2,4,2475,"[""TL;DR - small and cute spot, great for date night and they have oyster Tuesday's \n\nThis place is adorable. I love the counter seats too. It's a small place..."", 'Super cute restaurant in the heart of the trendy Fillmore District in lower Pac Heights. \n\nWe sat in their outdoor open parklet for lunch on a sunny Tuesday...', 'Words cannot express how delicious and good it is.  Just give a shot! Then you will understand what I mean. \nChunk lobster chilled in Mayo and celery.....']",Japantown,37.78741837,-122.4332733
JIJIME,Korean,2,4.5,496,"['Came here for a late lunch. I was greeted and seated immediately. I got the tonkatsu ramen. It came out fairly quickly and piping hot.\nIt was very filling...', ""Interesting food concept Korean Asian fusion and they advertise as such & I'm not sure what that is exactly. Scanning the menu, it's predominately Korean..."", 'The boyfriend and I had dinner here before we went to our show at the Palace theater. it was only 12 min away, so location was good for us, and when I saw...']",Outer Richmond,37.78065491,-122.4789505
Parada 22,Other,2,4,1385,"['The waiter was super accommodating and thoughtful. We got there with our pup and the waiter made sure our pup has water too. He moved us to one of the patio...', ""I don't know if I've ever had Puerto Rican cuisine prior to Parada 22, but I'm so happy I live pretty close to here, so I can try more of their dishes more..."", 'Vegetarian plate was generally okay - the white beans and yucca were more saucy than I expected but ratio of rice was not quite there. Some nice flavors for...']",Haight Ashbury,37.76921844,-122.4521179
Tanglad,Vietnamese,2,4.5,209,"[""This place is way nicer than the pictures  online make it seem! It's actually a super cute vibe and has a pretty outdoor area. \n\nThe food was amazing as..."", 'Stopped in near closing and they were kind enough to serve me a combo pho right quick.  I had heard mixed reviews of some of their other menu items, but...', ""This was a pleasant surprise hidden out in the Castro. My husband and I stopped in on a whim, and we're very glad we did.\n\nThe restaurant had a semi-outdoor...""]",Castro,37.76149368,-122.434845
Hook Fish,Seafood,2,4.5,858,"['I am obsessed with this place. I was intimidated at first and started with avocado tacos, then moved on to their poke salad. Once I had a taste of their...', ""LOVE this place - was surprised by how good it is! Right by Ocean Beach, it's the perfect spot to grab a bite after exploring the area.\n\n* Fish + chips:..."", ""Holy smokes this place is good. It's a small space that only has limited outdoor seating, but has a cool open kitchen and a menu focused on, you guessed it,...""]",Outer Sunset,37.76237106,-122.5068512
Breadbelly,Bakeries,2,4.5,410,"['Breakfast Sandwich: Bursting with flavors and unexpected ingredients. A unique twist on an American classic, the breakfast sandwich. Featuring pickled...', 'The concept is lovely the execution of pastries are top notch.  However, I felt their star ""Pandan Toast"" was too sweet for me and for $10 seemed a little...', '*3.5 stars, Came here on a sunny Saturday morning for brunch and line was ~15min long. No inside seating & bathroom available but there were plenty of...']",Inner Richmond,37.78274918,-122.4743881
Pizzetta 211,Pizza,2,4.5,1413,"['Easily my favorite spot in SF. Came by for Pearl (also amazing), and was convinced to come back for Pizzetta. As a New Yorker, I was skeptical of California...', '*calls to order a spicy coppa pizza* .... Have you seen our updated menu from our website? We change it every two weeks *doohhhh sorry I shall call back*...', 'Out in the quiet residential neighborhood a warm glow falls on the beautiful sidewalk in front of this rustic cozy teeny restaurant.  A pizza oasis,  like a...']",Outer Richmond,37.78368378,-122.4829712
Nopa,American (New),3,4,5300,"['The service was great, the food was wonderful.  I took my family here and had been anticipating the pork chops.  It did not disappoint us at all!  You gotta...', 'Nopa is a restaurant that focuses on combining quality, seasonal ingredients without over amplifying their menu. I got their smoked tomato Caesar salad,...', 'This place did not live up to its hype at it. We walked in for date night on Friday around 7:30pm with no reservations, and luckily we got seated instantly...']",Alamo Square,37.77482986,-122.4374619
Horsefeather,Other,2,4,459,"[""Gorgeous restaurant and bar where you feel like you're in a greenhouse if you're sitting in the patio area - so fun and intimidate \n\nMy favorite was the..."", 'We came here on a weekend night with no reservation and were able to get seated at an outdoor table pretty quickly! I loved the vibe of the place - very...', 'Stopped by here for my birthday and loved the aesthetics, the plant walls were adorable and love that they have an outside part, semi outside part, and...']",Alamo Square,37.7745018,-122.437355
Sweet Maple,American (Traditional),2,4.5,4429,"['Wonderful establishment......fantastic food and terrific staff.....thank you SM............', 'My wife was looking for a great place for brunch and Sweet Maple had some great reviews on Yelp. \n\nThe Yelpers were spot on!\n\nWe were a little worried about...', 'Came here on a Saturday for a solo brunch and lovedddd it! \n\nThere was a pretty long line wrapping around the corner but since I was alone I got to skip the...']",Lower Pacific Heights,37.78573608,-122.4350815
Dumpling Kitchen,Chinese,2,4,1952,"['Stopped by here on a Saturday afternoon for a late lunch around 3pm. We were immediately seated and handed menus. \n\nWe ordered the following items: \n-...', 'Stopped by here for lunch this past Thursday on the recommendation of my girlfriend. I have to say I was thoroughly impressed.\n\nMy girlfriend and I split a...', ""Oh my Dumping Kitchen.  You know I love me some dumpin's!\n\nWe got some Egg Yolk stuff!  Some Steamed Bun stuff!  And some Shanghai stuff!\n\nI dunno.  I...""]",Parkside,37.74229813,-122.4870071
The Italian Homemade Company,Italian,2,4.5,1122,"['It was my first time in San Francisco I order the lasagna it was amazing  it was a big plate  for like 2 people .. I will definitely go back when I  go...', 'The panna cotta was the one who stole the show for me! It was so creamy, the berry sauce was the right amount of sweetness. I would honestly say it is...', 'Will add my review to the pile for this one - cute little spot with nice but lowkey seating - could be a casual date night, or a lovely dinner with a small...']",Union Street,37.7974205,-122.4309692
