Name,Category,Price,Rating,Review_count,Review,Neighborhood,Latitude,Longitude
Marufuku Ramen,Ramen,2,4.5,4122,"['Long long overdue review, but I loved this place. The line was literally booty, so me and my friends went half an hour before opening, and sat by a nearby...', ""The food was amazing! I got the marufuku bites and the hakata tonkatsu, they were so good! The broth was the best I've ever had, highly recommend!"", 'Located inside a shopping mall, this is a perfect lunch spot. Come early and put your name down on the list and walk around the mall area to get some...']",Japantown,37.785118103027344,-122.4320068359375
Fog Harbor Fish House,Seafood,2,4.5,8324,"['Great food and not a long wait.  Perfect on a cool early afternoon.  Nice wait staff and right on the water.', ""Food was delicious! My wife and I were celebrating our wedding anniversary. Although the weather wasn't pleasant, we were able to see the Golden Gate Bridge..."", 'Not bad, but not impressive at the same time.\nThe service was pretty good, although they were busy.']",Fishermans Wharf,37.80898666381836,-122.41029357910156
Dumpling House,Other,2,4.5,360,"[""Love coming here - I've gotten so many of their items and have been happy with each. I've had their dumplings, the soups, vegetable dishes, you name it...."", 'Back again for dinner tonight:\n\nOn point: \n- XLBs\n- Wonton with chili sauce\n\nLess so: Pork and cabbage dumplings', ""Not the best dim sum I've had in SF... the restaurant itself is clean and modern, but the service was very very slow and the dim sum is quite Americanized....""]",Castro,37.763553619384766,-122.4327621459961
Starbelly,Other,2,4.0,2115,"['Starbelly has been one of my go to comfort restaurants since I moved to this city. The menu is always fresh and new but the atmosphere and service always...', 'Came here for SF Restaurant Week 2022! The lunch comes with a starter and an entree for $15! What a DEAL. \n\nI ordered the 1/2 liver pate plate and chicken...', 'We came here for my coworkers bday, and it was great vibes all around.\n\nWe ordered a lot, and we spent $89/person for about 13 people. We ordered hella...']",Castro,37.76401901245117,-122.43253326416016
Bottega,Italian,2,4.5,379,"['What a great place to grab lunch/dinner with your friends!\n\nThe servers are friendly. It adds that extra pizazz when they come by to offer freshly grated...', ""Ok let's debunk the hype - is Bottega really worth it? I say YES. \n\n| v i b e |\nThe ambience is something I noticed right away. It feels airy with the big..."", ""I am dairy and gluten free... so why would I be posting a 5 star review? Well, it's because Bottega has gluten free pasta. Usually, gluten free pasta will...""]",Mission,37.75471878051758,-122.42120361328125
Jamie's Place,Other,2,4.5,242,"['Very good food and service is very friendly.highly recommend\nWe order California omelet and it cooked perfectly. Dim sum is excellent', ""My friend introduced me to Jamie's Place and it's delicious. I love their presentation of food, and of course the food itself is very tasty. I think the..."", 'Attempted to try this place multiple times, the first time I went got there before the store opened and waited and waited and waited, no sign of it being...']",Inner Sunset,37.76261520385742,-122.46598052978516
Beit Rima,Other,2,4.5,200,"['Quick update:\n\nThese were great as well\n\nShashuka w cheese\nWhole fried branzino-fish\nFried potato', 'WOW! This restaurant truly is a hidden gem in Cole Valley. My boyfriend and I stopped in on a Sunday, not planning to go out for dinner. While driving by he...', 'The food is really good. We picked up, and they forgot something important, so we had to drive back, and they had accidentally given our item to someone...']",Cole Valley,37.76595687866211,-122.44967651367188
Sotto Mare,Seafood,2,4.5,4621,"['The food was delicious here! There was about a 45 min wait for two when we came in a Friday night, and they gave us a pager that would let us know when our...', 'Excellent !\nThe best Italian food I ever had... Yum ! I mean it I never had Italian food that good pasta was done perfect sauce marinara is the best ever...', 'Absolutely the best place to meet friends to have the best Italian seafood in San Francisco. Sotto Mare serves old-school Italian seafood in an old-school...']",North Beach,37.79978942871094,-122.40834045410156
Dumpling Kitchen,Other,2,4.5,27,"['So totally thrilled to find this place! We just attended the grand opening today (10/8/22): the food was freshly delicious & the service seamlessly...', 'A small storefront tucked in the heart of the Castro surprises you instantly if you walk in and ask to be seated in the back patio. We went midday on a...', ""FINALLY!!!!! This space and this neighborhood have a good restaurant!\nOur first time so we played it safe and went our GOSB's (good old stand bys), bbq pork...""]",Castro,37.7601318359375,-122.43528747558594
Kin Khao,Thai,2,4.0,2148,"[""I'll start with saying the only reason it's not 5 stars is because  we ordered everything at once and asked to have it coursed some, and ended up with..."", ""It has been a long and rough few years, but luckily for us, it's finally over. No, not the pandemic, I'm talking about waiting for Michelin-starred Kin Khao..."", ""This place has really really good food. Way over priced but they say that it is family sized portions... it's not. Portions are normal sized... so in other...""]",Downtown / Union Square,37.785240173339844,-122.40933227539062
