Name,Review count,Category,Rating,Price,Latitude,Longitude,Review,Rating binary,Neighborhood
Brenda's French Soul Food,11738,Breakfast & Brunch,4.0,$$,37.7829016035273,-122.419043442957,"[""Amazing food, legit mimosas and attentive service, I got only good things to say about Brenda's. \n\nHighly recommend any dish with the cheesy grits, they..."", 'This is a DELICIOUS brunch spot. We got the Fried Chicken Benedict and upgraded to cheddar grits side for only $1. The flight of beignets (plain, chocolate,...', ""I first tried Brenda's back in 2015, and promptly recommended it to other friends and family that have found themselves in SF throughout the years. My...""]",4.0,Tenderloin
Tartine Bakery,8556,Bakeries,4.0,$$,37.76131,-122.42431,"['I am not typically a fan of pastries, but this has to be one of my favorite bakeries. I got the almond lemon cake and banana cream tart which were both...', ""We've been here several times now.  It's special. The bread.... and I'm NOT that into bread.... is FANTASTIC! Country bread is their staple but I ask for..."", 'We went on a Saturday around noon and the line was about 15 minutes! \n\nThe bakery has a lot of unique items and looks so good! I got the classic pain au...']",4.0,Mission Dolores
Fog Harbor Fish House,8324,Seafood,4.5,$$,37.80898821475503,-122.41029651587516,"['Great food and not a long wait.  Perfect on a cool early afternoon.  Nice wait staff and right on the water.', ""Food was delicious! My wife and I were celebrating our wedding anniversary. Although the weather wasn't pleasant, we were able to see the Golden Gate Bridge..."", 'Not bad, but not impressive at the same time.\nThe service was pretty good, although they were busy.']",4.5,Fishermans Wharf
House of Prime Rib,8158,American (Traditional),4.0,$$$,37.79338,-122.4225,,4.0,Polk Gulch
San Tung,7679,Chinese,4.0,$$,37.76378306790313,-122.46900735179602,"[""It's seriously over hyped. \n\nTo me chicken wings in a sticky sauce are nothing special. Chicken wings are not my idea of fine dining.\n\nThe black bean sauce..."", 'Best food ever!!!\r\r Recently try the famous San Tung! ;)\nPlace with the best fried chicken.', ""The wings here are amazing! Hands down the best wings we've ever had!! On the other hand the costumer service I received here was horrible, that makes me...""]",4.0,Inner Sunset
Burma Superstar,7276,Burmese,4.0,$$,37.782787322998,-122.462539672852,"['I really liked the check in tablet at the Host reception. It was a 27 minute wait, so we were able to go to a nearby Bar to kill time. We got the alert and...', ""I've been to burma before and the quality is always consistent! We went at 6 on a Tuesday and there wasn't a wait despite being busy. We ordered the mango..."", 'Tried this restaurant today. Food tasted not bad but there is always a line there.\n\nPrice was not super expensive but somewhat high.']",4.0,Inner Richmond
Hog Island Oyster,6676,Seafood,4.5,$$,37.795831,-122.393303,"['Outstanding clam chowder!\nMany other tasty offerings... not a daunting menu. \nLots of drink choices. \nFast service!\nGreat views!\nDefinitely will be back!', ""Solid restaurant.  The line moves faster than you think so don't get discouraged when you see it.\nIt's worth it, enough said."", 'I love hog island oyster. We use to drive up to farm and bbq there and buy bags and bags of oysters. The is the defacto oyster company in the sf Bay Area as...']",4.5,Financial District
Tony's Pizza Napoletana,6079,Pizza,4.0,$$,37.8003315377662,-122.409053979377,"['their pizza is very good, the waiter friend was very nice, the taste is excellent\n\nAward Winning Margherita', 'Great Pizza, St Louis needs small chunks of sausage, a little more sause, close though', 'Flew from California to Southern Pines, NC., boarded an Amtrak train destined for St. Albans, Vermont.  Stop over in New York and spent one night at the...']",4.0,North Beach
Gary Danko,5757,American (New),4.5,$$$$,37.80587,-122.42058,"['It\'s been over 10 years since I\'ve dined here but the total experience and stood out so much that when friends came to town and asked for a ""San Francisco...', ""Pretty disappointed, mostly in the food. We've dined at the French laundry and other Michelin starred restaurants in CA and globally and it's quite shocking..."", ""It's been a couple of year since I've been to Gary Danko. My girlfriend and I were staying at the Marriott across the street for Dreamforce and I decided to...""]",4.5,Aquatic Park / Ft. Mason
Gary Danko,5757,American (New),4.5,$$$$,37.80587,-122.42058,"['It\'s been over 10 years since I\'ve dined here but the total experience and stood out so much that when friends came to town and asked for a ""San Francisco...', ""Pretty disappointed, mostly in the food. We've dined at the French laundry and other Michelin starred restaurants in CA and globally and it's quite shocking..."", ""It's been a couple of year since I've been to Gary Danko. My girlfriend and I were staying at the Marriott across the street for Dreamforce and I decided to...""]",4.5,Aquatic Park / Ft. Mason
Nopa,5300,American (New),4.0,$$$,37.77483,-122.43746,"['The service was great, the food was wonderful.  I took my family here and had been anticipating the pork chops.  It did not disappoint us at all!  You gotta...', 'Nopa is a restaurant that focuses on combining quality, seasonal ingredients without over amplifying their menu. I got their smoked tomato Caesar salad,...', 'This place did not live up to its hype at it. We walked in for date night on Friday around 7:30pm with no reservations, and luckily we got seated instantly...']",4.0,Alamo Square
